"x"	"y"	"median"
-74.0262	40.2217	59
-74.5992	40.5597	58
-74.7138	40.7832	90
-74.1408	40.6628	80
-74.2554	40.6514	50
-74.1694	40.7001	47
-73.9116	40.7087	81
-73.8543	40.9379	56
-73.5678	40.7373	55
-73.1668	40.7373	72
-73.7397	40.9665	62
-73.6251	41.0811	100
-73.5678	41.1384	97
-73.5105	41.0639	91
-73.1668	41.19	80
-73.4533	41.3905	81
-72.9376	41.316	76
-73.0522	41.5624	75
-73.2241	41.677	85
-72.4219	41.3905	94
-72.6511	41.5624	80
-72.7657	41.6712	82
-72.0782	41.3619	74
-72.7084	41.7687	68
-72.6511	41.8603	60
-72.0782	41.9004	85
-72.5938	42.1124	34
-71.7917	42.2499	66
-71.7917	42.588	65
-71.1041	41.7114	73
-71.3333	42.6453	63
-71.0468	42.2499	62
-71.1041	42.3244	36
-71.1041	42.376	54
-71.2187	42.3817	42
-71.0468	42.4218	52
-74.0262	41.9176	64
-73.2241	42.4505	65
-73.7397	42.6281	60
-73.9116	42.8	56
-73.6251	43.3214	64
