"x"	"y"
5.52334533691406	6.15079895019531
1.08287269592285	9.27836547851562
2.64746887207031	7.16447631835937
4.51008331298828	6.91723815917969
1.41069290161133	7.33754333496094
3.04979339599609	7.91855407714844
8.81644775390625	8.14106811523438
7.93729370117187	6.9790478515625
6.700517578125	4.87752105712891
6.22368835449219	6.03954162597656
0.829557189941406	6.02717956542969
2.51336059570313	8.33885925292969
4.82300231933594	7.75784912109375
5.50844421386719	7.68367736816406
4.04815490722656	8.25232543945313
3.645830078125	7.78257263183594
5.77666076660156	7.02849548339844
4.65909240722656	6.01481811523437
9.24857421875	9.40198425292969
7.5647705078125	7.23864807128906
9.02506042480469	8.68499267578125
5.92567016601562	8.74680236816406
3.95874938964844	8.66026916503906
5.07631805419922	6.36095153808594
4.27166870117188	7.47352478027344
2.76667602539063	8.49956420898437
3.54152374267578	8.14106811523438
2.27494598388672	7.94327758789063
8.96545654296875	9.19183166503906
8.25021301269531	7.44880065917969
2.96038787841797	7.34990539550781
8.04160034179687	8.74680236816406
6.99853576660156	6.57110412597656
3.36271270751953	8.54901184082031
6.17898559570312	7.78257263183594
3.80974029541016	7.2015625
1.91732391357422	8.2646875
7.22204956054687	8.02981140136719
9.36778137207031	8.12870666503906
6.90913024902344	6.13843688964844
3.37761352539062	8.38830688476562
5.56804809570312	6.69472351074219
3.66073089599609	6.52165649414063
2.61766693115234	7.91855407714844
8.83134887695313	9.31545104980469
6.96873413085938	7.02849548339844
1.45539566040039	8.52428771972656
6.50680603027344	7.18920043945313
4.77829956054688	8.709716796875
2.91568542480469	8.32649719238281
